Entit�;Jo;Match;Date;Heure;EQA_no;EQA_nom;EQB_no;EQB_nom;Set;Score;Total;Salle;Arb1;Arb2;
ABCCS;17;3MD102;2020-03-22;15:00;0229106;GOELO COTES D'ARMOR VOLLEY-BALL;0351428;E.SP. CANTON DE PIPRIAC V.B.;;;;LP DE LA CLOSERIE;;;;
ABCCS;18;3MD103;2020-04-05;15:00;0351428;E.SP. CANTON DE PIPRIAC V.B.;;xxxxx;;;;COMPLEXE DES TERRES ROUGES;;;;
ABCCS;18;3MD104;2020-04-05;15:00;0351417;RENNES ETUDIANTS CLUB;0229106;GOELO COTES D'ARMOR VOLLEY-BALL;;;;COURTEMANCHE;;;;
ABCCS;18;3MD105;2020-04-05;15:00;0353652;C.P.B. RENNES 35;0449605;ST NAZAIRE VB ATLANTIQUE 3;;;;GYMNASE CDT BOUGOUIN;;;;
ABCCS;18;3MD106;2020-04-05;15:00;0355169;VOLLEY BALL CLUB MALOUIN;0351501;UGS VOLLEY BALL CESSON-CHANTEPIE-VERN;;;;MARVILLE;;;;
ABCCS;18;3MD107;2020-04-05;14:00;0442477;ASB REZE 3;0293600;SAINT-RENAN IROISE VOLLEY;;;;GYMNASE LIBERGE;;;;
ABCCS;18;3MD108;2020-04-05;15:00;0534442;ASPTT LAVAL;0293606;KLOAR-AVEN VB 29;;;;GYMNASE NOEMIE HAMARD;;;;
ABCCS;19;3MD109;2020-04-19;15:00;;xxxxx;0293606;KLOAR-AVEN VB 29;;;;;;;;
ABCCS;19;3MD110;2020-04-19;15:00;0293600;SAINT-RENAN IROISE VOLLEY;0534442;ASPTT LAVAL;;;;SALLE GUYADER;;;;
ABCCS;19;3MD111;2020-04-19;15:00;0351501;UGS VOLLEY BALL CESSON-CHANTEPIE-VERN;0442477;ASB REZE 3;;;;2 RUISSEAUX;;;;
ABCCS;19;3MD112;2020-04-19;14:00;0449605;ST NAZAIRE VB ATLANTIQUE 3;0355169;VOLLEY BALL CLUB MALOUIN;;;;COUBERTIN;;;;
ABCCS;19;3MD113;2020-04-19;15:00;0229106;GOELO COTES D'ARMOR VOLLEY-BALL;0353652;C.P.B. RENNES 35;;;;LP DE LA CLOSERIE;;;;
ABCCS;19;3MD114;2020-04-19;15:00;0351428;E.SP. CANTON DE PIPRIAC V.B.;0351417;RENNES ETUDIANTS CLUB;;;;COMPLEXE DES TERRES ROUGES;;;;
ABCCS;20;3MD115;2020-04-26;15:00;0351417;RENNES ETUDIANTS CLUB;;xxxxx;;;;COURTEMANCHE;;;;
ABCCS;20;3MD116;2020-04-26;15:00;0353652;C.P.B. RENNES 35;0351428;E.SP. CANTON DE PIPRIAC V.B.;;;;GYMNASE CDT BOUGOUIN;;;;
ABCCS;20;3MD117;2020-04-26;15:00;0355169;VOLLEY BALL CLUB MALOUIN;0229106;GOELO COTES D'ARMOR VOLLEY-BALL;;;;MARVILLE;;;;
ABCCS;20;3MD118;2020-04-26;14:00;0442477;ASB REZE 3;0449605;ST NAZAIRE VB ATLANTIQUE 3;;;;GYMNASE LIBERGE;;;;
ABCCS;20;3MD119;2020-04-26;15:00;0534442;ASPTT LAVAL;0351501;UGS VOLLEY BALL CESSON-CHANTEPIE-VERN;;;;GYMNASE NOEMIE HAMARD;;;;
ABCCS;20;3MD120;2020-04-26;15:00;0293606;KLOAR-AVEN VB 29;0293600;SAINT-RENAN IROISE VOLLEY;;;;SALLE DES SPORTS;;;;
ABCCS;21;3MD121;2020-05-03;15:00;;xxxxx;0293600;SAINT-RENAN IROISE VOLLEY;;;;;;;;
ABCCS;21;3MD122;2020-05-03;15:00;0351501;UGS VOLLEY BALL CESSON-CHANTEPIE-VERN;0293606;KLOAR-AVEN VB 29;;;;2 RUISSEAUX;;;;
ABCCS;21;3MD123;2020-05-03;14:00;0449605;ST NAZAIRE VB ATLANTIQUE 3;0534442;ASPTT LAVAL;;;;COUBERTIN;;;;
ABCCS;21;3MD124;2020-05-03;15:00;0229106;GOELO COTES D'ARMOR VOLLEY-BALL;0442477;ASB REZE 3;;;;LP DE LA CLOSERIE;;;;
ABCCS;21;3MD125;2020-05-03;15:00;0351428;E.SP. CANTON DE PIPRIAC V.B.;0355169;VOLLEY BALL CLUB MALOUIN;;;;COMPLEXE DES TERRES ROUGES;;;;
ABCCS;21;3MD126;2020-05-03;15:00;0351417;RENNES ETUDIANTS CLUB;0353652;C.P.B. RENNES 35;;;;COURTEMANCHE;;;;
ABCCS;22;3MD127;2020-05-10;15:00;0353652;C.P.B. RENNES 35;;xxxxx;;;;GYMNASE CDT BOUGOUIN;;;;
ABCCS;22;3MD128;2020-05-10;15:00;0355169;VOLLEY BALL CLUB MALOUIN;0351417;RENNES ETUDIANTS CLUB;;;;MARVILLE;;;;
ABCCS;22;3MD129;2020-05-10;14:00;0442477;ASB REZE 3;0351428;E.SP. CANTON DE PIPRIAC V.B.;;;;GYMNASE LIBERGE;;;;
ABCCS;22;3MD130;2020-05-10;15:00;0534442;ASPTT LAVAL;0229106;GOELO COTES D'ARMOR VOLLEY-BALL;;;;GYMNASE NOEMIE HAMARD;;;;
ABCCS;22;3MD131;2020-05-10;15:00;0293606;KLOAR-AVEN VB 29;0449605;ST NAZAIRE VB ATLANTIQUE 3;;;;SALLE DES SPORTS;;;;
ABCCS;22;3MD132;2020-05-10;15:00;0293600;SAINT-RENAN IROISE VOLLEY;0351501;UGS VOLLEY BALL CESSON-CHANTEPIE-VERN;;;;SALLE GUYADER;;;;
